word,ipa,respelling_us,alt_ipa,alt_respelling_us,source_url,source_label,category,confidence,notes,audio_url
Istio,/ˈɪstioʊ/,iss tee oh,,,https://istio.io/,Istio docs,product,community-consensus,"""ISS-tee-oh"". Greek for ""to sail"".",https://pronounce.renlab.ai/audio/istio.mp3
Envoy,/ˈɛnˌvɔɪ/,en voy,,,https://www.envoyproxy.io/,Envoy docs,product,community-consensus,"""EN-voy"".",https://pronounce.renlab.ai/audio/envoy.mp3
Prometheus,/prəˈmiːθiəs/,pro mee thee us,,,https://prometheus.io/,Prometheus docs,product,community-consensus,"""pro-MEE-thee-uss"".",https://pronounce.renlab.ai/audio/prometheus.mp3
Grafana,/ɡrəˈfɑːnə/,gra fah na,,,https://grafana.com/,Grafana site,product,community-consensus,"""gra-FAH-na"" is the most common community reading.",https://pronounce.renlab.ai/audio/grafana.mp3
Terraform,/ˈtɛrəˌfɔːrm/,terra form,,,https://www.terraform.io/,HashiCorp docs,tool,community-consensus,"""TERR-uh-form"".",https://pronounce.renlab.ai/audio/terraform.mp3
Argo,/ˈɑːrɡoʊ/,ar go,,,https://argoproj.github.io/,Argo project,product,community-consensus,"""AR-go"".",https://pronounce.renlab.ai/audio/argo.mp3
Knative,/ˈkeɪˌneɪtɪv/,kay native,,,https://knative.dev/,knative.dev,product,community-consensus,"""KAY-native"" — the K is voiced, like saying the letter K then ""native"". Maintainer usage in talks (CNCF / KubeCon sessions); no official FAQ entry on knative.dev as of this writing.",https://pronounce.renlab.ai/audio/knative.mp3
Cassandra,/kəˈsændrə/,kuh sandra,,,https://cassandra.apache.org/,Apache Cassandra,product,community-consensus,"""kuh-SAN-druh"".",https://pronounce.renlab.ai/audio/cassandra.mp3
Redis,/ˈrɛdɪs/,red iss,,,https://en.wikipedia.org/wiki/Redis,Wikipedia § Redis,product,community-consensus,"""RED-iss"". Wikipedia opens with 'Redis (/ˈrɛdɪs/)' citing the Redis FAQ; Salvatore Sanfilippo (antirez, creator) uses the same reading in screencasts.",https://pronounce.renlab.ai/audio/redis.mp3
Ceph,/sɛf/,seff,,,https://ceph.io/en/,Ceph docs,product,community-consensus,"One syllable: ""seff"".",https://pronounce.renlab.ai/audio/ceph.mp3
etcd,/ˌɛt siː ˈdiː/,et C D,,,https://etcd.io/docs/v3.5/faq/,etcd FAQ,product,creator-clarified,"Project FAQ documents ""et-cetera-distributed"".",https://pronounce.renlab.ai/audio/etcd.mp3
containerd,/kənˈteɪnər diː/,container D,,,https://containerd.io/,containerd,product,community-consensus,"""container-D"" (the D is for ""daemon"").",https://pronounce.renlab.ai/audio/containerd.mp3
runc,/rʌn ˈsiː/,run C,,,https://github.com/opencontainers/runc,OCI runc,tool,community-consensus,"""run-C"".",https://pronounce.renlab.ai/audio/runc.mp3
Podman,/ˈpɑːdmən/,pod man,,,https://podman.io/,Podman site,tool,community-consensus,"""POD-man"".",https://pronounce.renlab.ai/audio/podman.mp3
PostgreSQL,/ˈpoʊstɡrɛs kjuː ˈɛl/,post gress Q L,,,https://www.postgresql.org/docs/current/faq.html,PostgreSQL FAQ,product,creator-clarified,"FAQ documents ""post-gres-Q-L"" as official.",https://pronounce.renlab.ai/audio/postgresql.mp3
Postgres,/ˈpoʊstɡrɛs/,post gress,,,https://www.postgresql.org/docs/current/faq.html,PostgreSQL FAQ,product,creator-clarified,"""POST-gress"".",https://pronounce.renlab.ai/audio/postgres.mp3
SQLite,/ˌɛs kjuː ɛl ˈaɪt/,S Q L ite,/ˈsiːkwəl laɪt/,sequel ite,https://www.sqlite.org/famous.html,SQLite docs,product,community-consensus,"""S-Q-L-ite"" preferred (per project lore).",https://pronounce.renlab.ai/audio/sqlite.mp3
MySQL,/ˌmaɪ ɛs kjuː ˈɛl/,my S Q L,,,https://dev.mysql.com/doc/refman/8.0/en/what-is-mysql.html,MySQL docs,product,creator-clarified,"Official: ""my-S-Q-L"". ""my-sequel"" is common informal.",https://pronounce.renlab.ai/audio/mysql.mp3
MongoDB,/ˈmɒŋɡoʊ diː biː/,mongo D B,,,https://www.mongodb.com/,MongoDB site,product,community-consensus,"""MONG-oh-D-B"".",https://pronounce.renlab.ai/audio/mongodb.mp3
ScyllaDB,/ˈsɪlə diː biː/,silla D B,,,https://www.scylladb.com/,ScyllaDB,product,community-consensus,"""SILL-uh-D-B"".",https://pronounce.renlab.ai/audio/scylladb.mp3
ClickHouse,/ˈklɪkˌhaʊs/,click house,,,https://clickhouse.com/,ClickHouse,product,community-consensus,"""CLICK-house"".",https://pronounce.renlab.ai/audio/clickhouse.mp3
DuckDB,/ˈdʌk diː biː/,duck D B,,,https://duckdb.org/,DuckDB,product,community-consensus,"""DUCK-D-B"".",https://pronounce.renlab.ai/audio/duckdb.mp3
Linux,/ˈlɪnəks/,linnix,,,https://en.wikipedia.org/wiki/Linux#Pronunciation,Wikipedia § Pronunciation,product,community-consensus,"Linus's own pronunciation is ""LIN-ux"" (short I, schwa). Wikipedia documents the variants.",https://pronounce.renlab.ai/audio/linux.mp3
Debian,/ˈdɛbiən/,deb ee un,,,https://www.debian.org/intro/about,Debian about,product,creator-clarified,"""DEB-ee-uhn"" — portmanteau of Debra + Ian Murdock, documented on the about page.",https://pronounce.renlab.ai/audio/debian.mp3
Ubuntu,/ʊˈbʊntuː/,oo boon too,,,https://ubuntu.com/,Ubuntu,product,community-consensus,"""oo-BOON-too"" (Zulu).",https://pronounce.renlab.ai/audio/ubuntu.mp3
Arch,/ɑːrtʃ/,arch,,,https://archlinux.org/,Arch Linux,product,community-consensus,"""arch"" (one syllable).",https://pronounce.renlab.ai/audio/arch.mp3
Nix,/nɪks/,nicks,,,https://nixos.org/,NixOS,product,community-consensus,"""nicks"".",https://pronounce.renlab.ai/audio/nix.mp3
Django,/ˈdʒæŋɡoʊ/,jang go,,,https://www.djangoproject.com/foundation/faq/,Django FAQ,product,creator-clarified,"FAQ documents ""JANG-go"" — silent D, like jazz guitarist Django Reinhardt.",https://pronounce.renlab.ai/audio/django.mp3
Vue,/vjuː/,view,,,https://github.com/vuejs/vue#readme,Vue README,product,creator-clarified,"""view"". Vue 2 project README states verbatim: 'Vue (pronounced /vjuː/, like view)'. Same reading echoed on en.wikipedia.org/wiki/Vue.js.",https://pronounce.renlab.ai/audio/vue.mp3
Vite,/viːt/,veet,,,https://github.com/vitejs/vite#readme,Vite README,product,creator-clarified,"""veet"". Project README states verbatim: 'Vite (French word for ""quick"", pronounced /viːt/, like ""veet"")'. README also links an mp3 of the pronunciation.",https://pronounce.renlab.ai/audio/vite.mp3
Pydantic,/paɪˈdæntɪk/,pie dantick,,,https://docs.pydantic.dev/,Pydantic docs,product,community-consensus,"""pie-DAN-tic"" — ""py"" pronounced ""pie"" (as in Python), then ""dantic"". Heard from Samuel Colvin (creator) in Talk Python To Me / FastAPI talks; no official FAQ entry on docs.pydantic.dev as of this writing.",https://pronounce.renlab.ai/audio/pydantic.mp3
Bun,/bʌn/,bun,,,https://bun.sh/,Bun docs,product,community-consensus,"""bun"" — like the bread.",https://pronounce.renlab.ai/audio/bun.mp3
Deno,/ˈdiːnoʊ/,dee no,,,https://deno.com/,Deno docs,product,community-consensus,"""DEE-no"".",https://pronounce.renlab.ai/audio/deno.mp3
Hugo,/ˈhjuːɡoʊ/,hue go,,,https://gohugo.io/,Hugo,product,community-consensus,"""HUE-go"".",https://pronounce.renlab.ai/audio/hugo.mp3
Hono,/ˈhoʊnoʊ/,ho no,,,https://hono.dev/,Hono docs,product,community-consensus,"Japanese for ""flame"": ""HOH-no"".",https://pronounce.renlab.ai/audio/hono.mp3
Caddy,/ˈkædi/,caddy,,,https://caddyserver.com/,Caddy,product,community-consensus,"""CAD-ee"".",https://pronounce.renlab.ai/audio/caddy.mp3
Svelte,/svɛlt/,svelt,,,https://svelte.dev/,Svelte,product,community-consensus,"""svelt"" — one syllable.",https://pronounce.renlab.ai/audio/svelte.mp3
Astro,/ˈæstroʊ/,astro,,,https://astro.build/,Astro,product,community-consensus,"""ASS-tro"".",https://pronounce.renlab.ai/audio/astro.mp3
Pinia,/ˈpiːnjə/,pee nya,,,https://pinia.vuejs.org/,Pinia docs,product,community-consensus,"""PEE-nya"".",https://pronounce.renlab.ai/audio/pinia.mp3
LaTeX,/ˈleɪtɛk/,lay tek,,,https://www.latex-project.org/about/,LaTeX project,tool,creator-clarified,"Lamport: ""lay-tek"" (or ""lah-tek""); never ""lay-teks"". Documented on the about page.",https://pronounce.renlab.ai/audio/latex.mp3
TeX,/tɛk/,tek,,,https://en.wikipedia.org/wiki/TeX#Pronunciation_and_spelling,Wikipedia § Pronunciation,tool,creator-clarified,"Knuth: like ""tech"" — the X is a Greek chi.",https://pronounce.renlab.ai/audio/tex.mp3
char,/tʃɑːr/,char,/kɛər/|/kɑːr/,care|car,,dev community,cs-term,contested,"""char"" (rhymes with ""car"") in C/C++ camp; ""care"" and ""kar"" also used.",https://pronounce.renlab.ai/audio/char.mp3
regex,/ˈrɛdʒɛks/,rej eks,/ˈrɛɡɛks/,reg eks,,dev community,cs-term,contested,"""REJ-eks"" (most common) vs ""REG-eks"".",https://pronounce.renlab.ai/audio/regex.mp3
sudo,/ˈsuːduː/,soo doo,/ˈsuːdoʊ/,soo doh,https://en.wikipedia.org/wiki/Sudo,Wikipedia,cli-tool,contested,"""soo-doo"" (substitute-user-do, Bourne convention) vs ""soo-doh"".",https://pronounce.renlab.ai/audio/sudo.mp3
tmux,/ˌtiː ˈmʌks/,T mux,/ˈtiːmʌks/,tee mucks,,dev community,tool,contested,"""T-mux"" or ""TEE-mucks"".",https://pronounce.renlab.ai/audio/tmux.mp3
chmod,/ˌtʃiː ˈmɒd/,C H mod,/ˈtʃæmɒd/,chuh mod,,dev community,cli-tool,contested,"""CH-mod"" or ""chuh-MOD"".",https://pronounce.renlab.ai/audio/chmod.mp3
emacs,/ˈiːmæks/,ee max,,,https://www.gnu.org/software/emacs/,GNU Emacs,tool,community-consensus,"""EE-max"".",https://pronounce.renlab.ai/audio/emacs.mp3
zsh,/ˌziː ˈʃɛl/,Z shell,,,https://zsh.sourceforge.io/,zsh docs,tool,community-consensus,"""Z-shell"".",https://pronounce.renlab.ai/audio/zsh.mp3
WYSIWYG,/ˈwɪziwɪɡ/,whizzy wig,,,https://en.wikipedia.org/wiki/WYSIWYG,Wikipedia,acronym,community-consensus,"""WIZ-ee-wig"".",https://pronounce.renlab.ai/audio/wysiwyg.mp3
ASCII,/ˈæski/,ass key,,,https://en.wikipedia.org/wiki/ASCII,Wikipedia,acronym,community-consensus,"""ASS-key"".",https://pronounce.renlab.ai/audio/ascii.mp3
Azure,/ˈæʒər/,azh er,,,https://azure.microsoft.com/,Microsoft,product,community-consensus,"""AZH-er"".",https://pronounce.renlab.ai/audio/azure.mp3
AWS,/ˌeɪ dʌbljuː ˈɛs/,A W S,,,https://aws.amazon.com/,Amazon,product,community-consensus,"""A-W-S"" letter-by-letter.",https://pronounce.renlab.ai/audio/aws.mp3
GCP,/ˌdʒiː siː ˈpiː/,G C P,,,https://cloud.google.com/,Google Cloud,product,community-consensus,"""G-C-P"".",https://pronounce.renlab.ai/audio/gcp.mp3
SaaS,/sæs/,sass,,,https://en.wikipedia.org/wiki/Software_as_a_service,Wikipedia,acronym,community-consensus,"""sass"".",https://pronounce.renlab.ai/audio/saas.mp3
PaaS,/pæs/,pass,,,https://en.wikipedia.org/wiki/Platform_as_a_service,Wikipedia,acronym,community-consensus,"""pass"".",https://pronounce.renlab.ai/audio/paas.mp3
Numpy,/ˈnʌmpaɪ/,num pie,,,https://numpy.org/,NumPy docs,product,community-consensus,"""NUM-pie"".",https://pronounce.renlab.ai/audio/numpy.mp3
SciPy,/ˈsaɪpaɪ/,sigh pie,,,https://scipy.org/,SciPy docs,product,community-consensus,"""SIGH-pie"".",https://pronounce.renlab.ai/audio/scipy.mp3
Jupyter,/ˈdʒuːpɪtər/,joo pi ter,,,https://jupyter.org/,Jupyter docs,product,community-consensus,"""JOO-pi-tur"" — named after Jupiter (planet) + Julia, Python, R.",https://pronounce.renlab.ai/audio/jupyter.mp3
pandas,/ˈpændəz/,pandas,,,https://pandas.pydata.org/,pandas docs,product,community-consensus,"""PAN-duhz"".",https://pronounce.renlab.ai/audio/pandas.mp3
PyTorch,/ˈpaɪtɔːrtʃ/,pie torch,,,https://pytorch.org/,PyTorch,product,community-consensus,"""PIE-torch"".",https://pronounce.renlab.ai/audio/pytorch.mp3
NaN,/næn/,nan,/ˌɛn eɪ ˈɛn/,N A N,https://en.wikipedia.org/wiki/NaN,Wikipedia,cs-term,contested,"""nan"" (rhymes with ""can"") or ""N-A-N"".",https://pronounce.renlab.ai/audio/nan.mp3
enum,/ˈiːnəm/,ee num,,,,dev community,cs-term,community-consensus,"""EE-num"".",https://pronounce.renlab.ai/audio/enum.mp3
Anthropic,/ænˈθrɑpɪk/,an THROP ik,,,https://dictionary.cambridge.org/pronunciation/english/anthropic,Cambridge Dictionary,product,community-consensus,"Standard/now-famous reading is ""an-THROP-ik"" (stress on second syllable THROP), identical to the adjective ""anthropic""; matches the company's own usage. The ""an-THROW-pick"" reading is a common mistake.",https://pronounce.renlab.ai/audio/anthropic.mp3
OpenAI,/ˈoʊpən eɪ aɪ/,open A I,,,https://openai.com/,OpenAI,product,community-consensus,"""OH-pen A-I"" letter-by-letter.",https://pronounce.renlab.ai/audio/openai.mp3
Claude,/klɔːd/,clawed,,,https://www.anthropic.com/claude,Anthropic,product,community-consensus,"One syllable, rhymes with ""fraud"". Anthropic's LLM family.",https://pronounce.renlab.ai/audio/claude.mp3
Cohere,/koʊˈhɪər/,co here,,,https://cohere.com/,Cohere,product,community-consensus,"""co-HEER"", like the verb ""cohere"".",https://pronounce.renlab.ai/audio/cohere.mp3
Mistral,/mɪˈstrɑːl/,mis trahl,,,https://mistral.ai/,Mistral AI,product,community-consensus,"""miss-TRAL"" (French style; the wind).",https://pronounce.renlab.ai/audio/mistral.mp3
Ollama,/oʊˈlɑːmə/,oh la ma,,,https://ollama.com/,Ollama project,product,community-consensus,"""oh-LAH-mah"" — common community reading.",https://pronounce.renlab.ai/audio/ollama.mp3
LangChain,/ˈlæŋtʃeɪn/,lang chain,,,https://www.langchain.com/,LangChain,product,community-consensus,"""LANG-chain"".",https://pronounce.renlab.ai/audio/langchain.mp3
LlamaIndex,/ˈlɑːməˌɪndɛks/,llama index,,,https://www.llamaindex.ai/,LlamaIndex,product,community-consensus,"""LLAH-mah index"".",https://pronounce.renlab.ai/audio/llamaindex.mp3
HuggingFace,/ˈhʌɡɪŋˌfeɪs/,hugging face,,,https://huggingface.co/,Hugging Face,product,community-consensus,"""HUGGING face"" — like the emoji.",https://pronounce.renlab.ai/audio/huggingface.mp3
vLLM,/ˌviː ɛl ɛl ˈɛm/,V L L M,,,https://github.com/vllm-project/vllm,vLLM,product,community-consensus,"""V-L-L-M"" letter-by-letter.",https://pronounce.renlab.ai/audio/vllm.mp3
JAX,/dʒæks/,jacks,,,https://jax.readthedocs.io/,JAX docs,product,community-consensus,"""jacks"", one syllable. Google's autograd library.",https://pronounce.renlab.ai/audio/jax.mp3
Mojo,/ˈmoʊdʒoʊ/,mo jo,,,https://www.modular.com/mojo,Modular,product,community-consensus,"""MOH-joe"".",https://pronounce.renlab.ai/audio/mojo.mp3
DSPy,/ˌdiː ɛs ˈpaɪ/,D S pie,,,https://dspy.ai/,DSPy,product,community-consensus,"""D-S-py"" — Stanford framework.",https://pronounce.renlab.ai/audio/dspy.mp3
Pinecone,/ˈpaɪnˌkoʊn/,pine cone,,,https://www.pinecone.io/,Pinecone,product,community-consensus,"""PINE-cone"". Vector DB.",https://pronounce.renlab.ai/audio/pinecone.mp3
Weaviate,/ˈwiːviˌeɪt/,wee vee ate,,,https://weaviate.io/,Weaviate,product,community-consensus,"""WEE-vee-ate"" — common community reading.",https://pronounce.renlab.ai/audio/weaviate.mp3
Milvus,/ˈmɪlvəs/,mill vus,,,https://milvus.io/,Milvus,product,community-consensus,"""MILL-vuhs"".",https://pronounce.renlab.ai/audio/milvus.mp3
Qdrant,/ˈkwɒdrənt/,quadrant,,,https://qdrant.tech/,Qdrant,product,community-consensus,"""QUADRANT"" — common reading; project FAQ TBD as a citable source.",https://pronounce.renlab.ai/audio/qdrant.mp3
Chroma,/ˈkroʊmə/,chroma,,,https://www.trychroma.com/,Chroma,product,community-consensus,"""KROH-mah"". Vector DB.",https://pronounce.renlab.ai/audio/chroma.mp3
Modal,/ˈmoʊdl̩/,moh dl,,,https://modal.com/,Modal,product,community-consensus,"""MOH-dul"".",https://pronounce.renlab.ai/audio/modal.mp3
Replicate,/ˈrɛplɪˌkeɪt/,rep li kate,,,https://replicate.com/,Replicate,product,community-consensus,"""REP-li-kate"".",https://pronounce.renlab.ai/audio/replicate.mp3
Next.js,/ˈnɛkst dʒeɪ ɛs/,next J S,,,https://nextjs.org/,Vercel,product,community-consensus,"""NEXT-J-S"".",https://pronounce.renlab.ai/audio/next.js.mp3
Nuxt,/nʌkst/,nukst,,,https://nuxt.com/,Nuxt,product,community-consensus,"""nukst"" — one syllable.",https://pronounce.renlab.ai/audio/nuxt.mp3
Remix,/ˈriːmɪks/,ree mix,,,https://remix.run/,Remix,product,community-consensus,"""REE-mix"".",https://pronounce.renlab.ai/audio/remix.mp3
Qwik,/kwɪk/,quick,,,https://qwik.dev/,Qwik,product,community-consensus,"""quick"" — yes, intentional. Heard from creator Misko Hevery.",https://pronounce.renlab.ai/audio/qwik.mp3
SolidJS,/ˈsɒlɪd dʒeɪ ɛs/,solid J S,,,https://www.solidjs.com/,SolidJS,product,community-consensus,"""SOLID-J-S"".",https://pronounce.renlab.ai/audio/solidjs.mp3
Tailwind,/ˈteɪlˌwɪnd/,tail wind,,,https://tailwindcss.com/,Tailwind CSS,product,community-consensus,"""TAIL-wind"".",https://pronounce.renlab.ai/audio/tailwind.mp3
shadcn,/ˌʃæd siː ˈɛn/,shad C N,,,https://ui.shadcn.com/,shadcn/ui,product,community-consensus,"""shad-C-N"" — common community reading; creator clarification TBD as a citable source.",https://pronounce.renlab.ai/audio/shadcn.mp3
tRPC,/ˌtiː ɑːr piː ˈsiː/,T R P C,,,https://trpc.io/,tRPC,product,community-consensus,"""T-R-P-C"".",https://pronounce.renlab.ai/audio/trpc.mp3
Zod,/zɒd/,zod,,,https://zod.dev/,Zod,product,community-consensus,"""zod"" — one syllable.",https://pronounce.renlab.ai/audio/zod.mp3
Zustand,/ˈtsuːʃtʌnt/,tsu shtund,,,https://zustand.docs.pmnd.rs/,Poimandres,product,community-consensus,"German for ""state"": ""TSOO-shtund"" in German; most English speakers say ""ZOO-stund"". Creator clarification TBD.",https://pronounce.renlab.ai/audio/zustand.mp3
Drizzle,/ˈdrɪzəl/,drizzle,,,https://orm.drizzle.team/,Drizzle ORM,product,community-consensus,"""DRIZ-l"".",https://pronounce.renlab.ai/audio/drizzle.mp3
Prisma,/ˈprɪzmə/,prizma,,,https://www.prisma.io/,Prisma,product,community-consensus,"""PRIZ-muh"".",https://pronounce.renlab.ai/audio/prisma.mp3
NestJS,/ˌnɛst dʒeɪ ˈɛs/,nest J S,,,https://nestjs.com/,NestJS,product,community-consensus,"""NEST-J-S"".",https://pronounce.renlab.ai/audio/nestjs.mp3
FastAPI,/ˌfæst eɪ piː ˈaɪ/,fast A P I,,,https://fastapi.tiangolo.com/,FastAPI,product,community-consensus,"""fast-A-P-I"".",https://pronounce.renlab.ai/audio/fastapi.mp3
Vercel,/vɜːrˈsɛl/,ver SELL,,,https://vercel.com/,Vercel,product,community-consensus,"""vur-SELL"" — heard from Vercel communications.",https://pronounce.renlab.ai/audio/vercel.mp3
Netlify,/ˈnɛtlɪˌfaɪ/,net li fy,,,https://www.netlify.com/,Netlify,product,community-consensus,"""NET-li-fy"".",https://pronounce.renlab.ai/audio/netlify.mp3
Cloudflare,/ˈklaʊdˌflɛər/,cloud flair,,,https://www.cloudflare.com/,Cloudflare,product,community-consensus,"""CLOUD-flair"".",https://pronounce.renlab.ai/audio/cloudflare.mp3
HashiCorp,/ˈhæʃiˌkɔːrp/,hashy corp,,,https://www.hashicorp.com/,HashiCorp,product,community-consensus,"""HASH-ee-corp"".",https://pronounce.renlab.ai/audio/hashicorp.mp3
Datadog,/ˈdætəˌdɔːɡ/,data dog,,,https://www.datadoghq.com/,Datadog,product,community-consensus,"""DATA-dog"".",https://pronounce.renlab.ai/audio/datadog.mp3
Stripe,/straɪp/,stripe,,,https://stripe.com/,Stripe,product,community-consensus,"""stripe"" — one syllable.",https://pronounce.renlab.ai/audio/stripe.mp3
Notion,/ˈnoʊʃən/,no shun,,,https://www.notion.so/,Notion,product,community-consensus,"""NO-shun"" (like the noun).",https://pronounce.renlab.ai/audio/notion.mp3
Linear,/ˈlɪniər/,lin ee ar,,,https://linear.app/,Linear,product,community-consensus,"""LIN-ee-ar"".",https://pronounce.renlab.ai/audio/linear.mp3
Snowflake,/ˈsnoʊˌfleɪk/,snow flake,,,https://www.snowflake.com/,Snowflake,product,community-consensus,"""SNOW-flake"".",https://pronounce.renlab.ai/audio/snowflake.mp3
Databricks,/ˈdætəˌbrɪks/,data bricks,,,https://www.databricks.com/,Databricks,product,community-consensus,"""DATA-bricks"".",https://pronounce.renlab.ai/audio/databricks.mp3
Palantir,/ˈpælənˌtɪər/,pal an teer,,,https://www.palantir.com/,Palantir,product,community-consensus,"""PAL-an-teer"" — from Tolkien's seeing-stones.",https://pronounce.renlab.ai/audio/palantir.mp3
Atlassian,/ætˈlæsiən/,at lass ee an,,,https://www.atlassian.com/,Atlassian,product,community-consensus,"""at-LASS-ee-an"".",https://pronounce.renlab.ai/audio/atlassian.mp3
Splunk,/splʌŋk/,splunk,,,https://www.splunk.com/,Splunk,product,community-consensus,"""splunk"" — rhymes with ""drunk"".",https://pronounce.renlab.ai/audio/splunk.mp3
Cilium,/ˈsɪliəm/,silly um,,,https://cilium.io/,Cilium,product,community-consensus,"""SIL-ee-um"" — Latin for eyelash.",https://pronounce.renlab.ai/audio/cilium.mp3
Linkerd,/ˈlɪŋkərdiː/,linker D,,,https://linkerd.io/,Linkerd,product,community-consensus,"""LINKER-D"".",https://pronounce.renlab.ai/audio/linkerd.mp3
Crossplane,/ˈkrɒsˌpleɪn/,cross plane,,,https://www.crossplane.io/,Crossplane,product,community-consensus,"""CROSS-plane"".",https://pronounce.renlab.ai/audio/crossplane.mp3
Karpenter,/ˈkɑːrpəntər/,carpenter,,,https://karpenter.sh/,Karpenter,product,community-consensus,"""CARPENTER"" — like the trade.",https://pronounce.renlab.ai/audio/karpenter.mp3
Velero,/vəˈlɛəroʊ/,veh lair oh,,,https://velero.io/,Velero,product,community-consensus,"""vuh-LAIR-oh"".",https://pronounce.renlab.ai/audio/velero.mp3
Falco,/ˈfælkoʊ/,fal co,,,https://falco.org/,Falco,product,community-consensus,"""FAL-co"".",https://pronounce.renlab.ai/audio/falco.mp3
Trivy,/ˈtrɪvi/,trivy,,,https://trivy.dev/,Trivy,product,community-consensus,"""TRIV-ee"".",https://pronounce.renlab.ai/audio/trivy.mp3
Kyverno,/kaɪˈvɜːrnoʊ/,kai verno,,,https://kyverno.io/,Kyverno,product,community-consensus,"""kai-VER-no"".",https://pronounce.renlab.ai/audio/kyverno.mp3
OPA,/ˌoʊ piː ˈeɪ/,O P A,,,https://www.openpolicyagent.org/,OPA project,abbreviation,community-consensus,"""O-P-A"" letter-by-letter.",https://pronounce.renlab.ai/audio/opa.mp3
ArgoCD,/ˈɑːrɡoʊ siː diː/,argo C D,,,https://argoproj.github.io/cd/,Argo CD,product,community-consensus,"""AR-go-C-D"".",https://pronounce.renlab.ai/audio/argocd.mp3
FluxCD,/ˈflʌks siː diː/,flux C D,,,https://fluxcd.io/,Flux CD,product,community-consensus,"""FLUX-C-D"".",https://pronounce.renlab.ai/audio/fluxcd.mp3
Tekton,/ˈtɛktən/,tek ton,,,https://tekton.dev/,Tekton,product,community-consensus,"""TEK-tun"".",https://pronounce.renlab.ai/audio/tekton.mp3
Neovim,/ˈniːoʊˌvɪm/,nee oh vim,,,https://neovim.io/,Neovim,tool,community-consensus,"""NEE-oh-vim"" is the most common community reading.",https://pronounce.renlab.ai/audio/neovim.mp3
Helix,/ˈhiːlɪks/,hee licks,,,https://helix-editor.com/,Helix,tool,community-consensus,"""HEE-licks"".",https://pronounce.renlab.ai/audio/helix.mp3
Zed,/zɛd/,zed,,,https://zed.dev/,Zed,tool,community-consensus,"""zed"" — the letter.",https://pronounce.renlab.ai/audio/zed.mp3
Cursor,/ˈkɜːrsər/,cur sir,,,https://cursor.com/,Cursor,tool,community-consensus,"""CUR-sir"".",https://pronounce.renlab.ai/audio/cursor.mp3
